,VEGFA,FGF1,Cluster
TCGA-CJ-4882-01A-02R-1426-07,9.888432178030376,3.269031133897085,1
TCGA-CZ-5452-01A-01R-1503-07,9.290960339830916,0.8586100486969703,1
TCGA-B0-5115-01A-01R-1420-07,11.224398105779462,2.3557563118323133,1
TCGA-BP-4346-01A-01R-1289-07,10.383350272125654,2.0405048672828268,1
TCGA-B8-4153-01B-11R-1672-07,10.504252886975843,1.6142565178765516,1
TCGA-CZ-5453-01A-01R-1503-07,10.771753791320052,1.9542613903166035,1
TCGA-BP-5176-01A-01R-1426-07,8.564608238792607,1.65357596619658,1
TCGA-B0-4838-01A-01R-1305-07,10.006682735115612,1.6903292204936329,1
TCGA-CW-6097-01A-11R-1672-07,9.567938170047976,2.14493820556594,1
TCGA-B0-4824-01A-01R-1277-07,10.8945394964545,1.1242625526849133,1
TCGA-B0-4696-01A-01R-1277-07,6.492567378034225,0.1952049781480116,1
TCGA-A3-3307-01A-01R-0864-07,10.435193695453254,1.851772814575164,1
TCGA-CJ-4916-01A-01R-1426-07,10.88667446070955,1.2021653087683042,1
TCGA-BP-4976-01A-01R-1334-07,9.851638541071486,1.4964722553768968,1
TCGA-CJ-5679-01A-11R-1541-07,8.108656256939277,1.460297392108766,1
TCGA-BP-5183-01A-01R-1426-07,10.443193175717774,1.5605098979218068,1
TCGA-B0-4823-01A-02R-1420-07,9.34699417041628,2.049348642311493,1
TCGA-B2-5641-01A-01R-1541-07,9.4502708210798,1.5061934144962874,1
TCGA-CZ-5464-01A-01R-1503-07,9.480037711735216,1.281770719601699,1
TCGA-BP-4988-01A-01R-1334-07,10.93097140544624,2.507016822840886,1
TCGA-B0-4834-01A-01R-1305-07,8.696761807558621,2.2285858336346123,1
TCGA-CJ-5681-01A-11R-1541-07,7.204068404157167,1.0198025712294017,1
TCGA-BP-5192-01A-01R-1426-07,10.374832875900774,1.9527160119573208,1
TCGA-BP-4173-01A-02R-1289-07,10.311087986160013,2.3429265763974185,1
TCGA-CJ-4887-01A-01R-1305-07,9.664669823919876,1.9154978678174317,1
TCGA-B0-5077-01A-01R-1334-07,10.761814774628512,1.9826309098659165,1
TCGA-AK-3451-01A-02R-1188-07,6.759320915408603,0.8880436307366225,1
TCGA-B0-4694-01A-01R-1277-07,7.946955974841334,1.3052037242154229,1
TCGA-G6-A8L8-01A-21R-A37O-07,11.870261794420104,4.373928390122784,0
TCGA-CZ-4856-01A-02R-1426-07,9.896144787869328,1.4221648829403668,1
TCGA-CJ-4638-01A-02R-1325-07,9.92251522677075,1.682522598307559,1
TCGA-A3-3357-01A-02R-1420-07,10.012664921870662,1.6485440279002004,1
TCGA-DV-5569-01A-01R-1541-07,9.957437316230113,2.3671539838504967,1
TCGA-CW-6088-01A-11R-1672-07,11.13903287536641,2.1323280776762195,1
TCGA-BP-4768-01A-01R-1289-07,11.542321498711368,1.1524547885760397,1
TCGA-BP-4775-01A-01R-1289-07,11.299753560219331,1.5530819584329971,1
TCGA-44-7671-01A-11R-2066-07,7.049593773448259,1.858580034272151,1
